Region_Code,W_REGN_N,Province_Code,W_PROV_N,FOOD_2021,NFOOD_2021,TOTEX_2021,BREAD_2021,MEAT_2021,FISH_2021,MILK_2021,OIL_2021,FRUIT_2021,VEG_2021,SUGAR_2021,FOOD_NEC_2021,COFFEE_2021,MINERAL_2021,FOOD_OUTSIDE_2021,ALCOHOL_2021,TOBACCO_2021,OTHER_VEG_2021,CLOTH_2021,FURNISHING_2021,HEALTH_2021,HOUSING_WATER_2021,TRANSPORT_2021,COMMUNICATION_2021,RECREATION_2021,EDUCATION_2021,MISCELLANEOUS_2021,DURABLE_2021,OCCASION_2021,OTHER_EXPENDITURE_2021,FOOD_ACCOM_SRVC_2021,FOOD_2018,NFOOD_2018,TOTEX_2018,BREAD_2018,MEAT_2018,FISH_2018,MILK_2018,OIL_2018,FRUIT_2018,VEG_2018,SUGAR_2018,FOOD_NEC_2018,COFFEE_2018,MINERAL_2018,FOOD_OUTSIDE_2018,ALCOHOL_2018,TOBACCO_2018,OTHER_VEG_2018,CLOTH_2018,FURNISHING_2018,HEALTH_2018,HOUSING_WATER_2018,TRANSPORT_2018,COMMUNICATION_2018,RECREATION_2018,EDUCATION_2018,MISCELLANEOUS_2018,DURABLE_2018,OCCASION_2018,OTHER_EXPENDITURE_2018,FOOD_ACCOM_SRVC_2018
1000000000,Region X - Northern Mindanao,1001300000,Bukidnon,101676990,120006151,221663505,35570314,15584533,13863306,7887912,1802175,4728174,7432797,2087079,3900553,2166653,3551165,3102329,1177746,2154219,690,4528684,4194507,5334012,43506726,15032448,7239750,1072351,3019085,17041698,6707497,5861400,3052238,83100,89421545,103702784,193124329,35295854,9390157,10279137,6335743,1040221,3008726,5414734,1720087,2026872,2516107,1792100,10601807,853364,1868587,5740,7148206,4579012,6229472,32466942,11984442,2914392,1380015,3754266,12019140,9103693,6644263,2188070,563180
1000000000,Region X - Northern Mindanao,1001800000,Camiguin,62599044,92163969,154739109,20847065,9456840,7532225,6167531,1260581,2840287,4471923,1295412,3075783,1708328,1818155,2124914,721334,1681592,650,3389220,4134770,6972886,33102480,8932104,5292894,774417,2101129,12419622,5435226,4094673,3105972,5000,54596235,80007863,134604097,19506336,7418006,6060004,4444345,934205,1616234,3418630,1177512,1407652,1911802,1239891,5461618,927123,1553479,0,4383160,3187788,4222151,26395368,7474002,1624806,1230052,2579774,9285546,6188186,8084390,2831928,40110
1000000000,Region X - Northern Mindanao,1003500000,Lanao del Norte,214677807,251992337,466456626,72008973,26765306,31154654,13679875,4352237,9666435,15358287,3964618,7604469,6503560,8866793,14752600,2311172,5517965,71024,8800831,7537309,11489034,107148000,28659036,15980226,1163089,4860407,33104682,9025953,11283490,4987019,53100,226408225,232880069,459288283,81912246,23245152,31997879,14844036,3507885,6549976,12769609,4170587,4147613,7943561,6074737,29244944,1772401,4461339,62642,14127557,8910392,10707526,86054538,28055148,9930906,2772712,10506974,27863532,9142870,13069510,5320952,121070
1000000000,Region X - Northern Mindanao,1004200000,Misamis Occidental,148783598,177697911,326436557,43204519,24205393,27858898,11490998,2487229,6157209,8600325,2000563,4300136,3752822,4032227,10693279,1902722,2403154,0,5975461,6056743,11331332,56011776,19108182,9684354,1624636,5061737,21884268,14912261,16308859,5431426,1000,110792331,132268391,243060721,36353952,14513166,20754453,8842738,1604744,3101971,6931725,1933528,2284517,3489958,2303017,8678562,1140722,1834711,10057,6854219,5544028,5620886,39985164,14579586,4048506,1774473,8322600,14875032,12976371,10028436,4504355,169245
1000000000,Region X - Northern Mindanao,1004300000,Misamis Oriental,251731368,387825093,639505491,75956840,41923094,34082044,19167909,3880779,10046293,13942656,3822150,13251801,7168044,10023919,18465839,3356645,6194090,920,9445459,12806255,20553368,158150130,41019540,22974114,2634384,11582679,50723004,14930347,19827715,13538543,87900,237805347,364081208,601886554,70463445,30848207,27567543,19936479,3361292,6258317,13034616,3758631,4681198,9217480,7283760,41394379,3384594,6753567,37945,14705746,13050115,16270685,132872862,43561044,13855644,3762401,18248709,38056872,17625992,28024014,13548178,322840
100000000,Region I - Ilocos Region,102800000,Ilocos Norte,172899583,201629121,374480375,38689223,38296114,25971486,8904166,2441075,7262063,14247775,3097077,5276901,3757106,9778085,15178512,2333188,2472689,70249,6331931,7602942,11911554,72364428,21337128,14007804,1228710,3703702,30354054,16635173,7364880,3853889,56800,152989069,190362986,343352056,34973785,26264282,16394426,8324671,2022886,3586659,9442422,2284820,3551012,3017432,5730045,37396629,2512279,3032901,16769,7731862,7784250,10639782,65780394,21671604,7545846,2619165,5921516,23938062,13732093,12621817,3929546,885100
100000000,Region I - Ilocos Region,102900000,Ilocos Sur,130485694,192391786,322801133,32774357,29023535,17840097,8308997,2422409,5790083,11030459,2472218,5940797,3836716,7343458,3702568,3832302,3446848,46050,6443854,6480799,14206320,74358084,14953542,11677932,996172,4075194,23810292,15402934,8781740,3813223,66500,121650270,150985210,272635479,33712683,19355664,12734900,5979281,1649223,3062359,7598162,1845188,3071009,3304503,5046102,24291196,2521196,2489155,21864,5834330,6696087,9151027,54091590,17379498,6357120,1477245,4272650,16703910,10405903,10250774,3039111,293750
100000000,Region I - Ilocos Region,103300000,La Union,145796440,210126819,355832705,34998218,31139577,20032425,9791319,2359705,6692974,11060861,2705348,6079342,4005602,7404989,9526080,2461253,2879632,104960,5293255,8485507,16070803,74556684,19486086,12819864,2522629,6624506,30823866,11288591,8628524,7885459,195200,138990252,170211156,309201407,32905895,20146241,13431444,8305892,1857482,4082742,7048965,2613350,3163978,3373234,5277341,36783688,2253197,2742991,47990,9071898,7603752,10182055,53272734,20587854,6513408,2457243,7130103,22806906,9435753,8864291,5189061,2051920
100000000,Region I - Ilocos Region,105500000,Pangasinan,129094454,173185421,302178746,33307081,21491996,16745537,9232799,2144127,5851488,9073197,2670947,7037673,3546897,5282396,12710316,1737472,3436131,6610,4373317,6851117,13231919,68118138,15821412,9438342,1515080,6077710,24219648,7147538,6770674,4042656,397657,139756398,152781928,292538324,34937817,16958133,13775122,9320664,1985555,4065877,7485639,2461880,3123025,3871124,4611730,37159832,1701615,3507394,4955,5786604,7605913,7289312,53526834,17191254,5207364,2020319,6554352,20768280,7436326,6028337,6236485,1916584
1100000000,Region XI - Davao,1102300000,Davao del Norte,123864011,159789516,283614329,35443169,18778379,20201810,8632006,2098428,4625460,8713770,2087439,4240047,2985354,7154714,8903435,1124906,2541289,300,5763067,4313273,6595286,69967506,17235588,7380846,1807798,3394061,19075182,5197103,11384035,3998776,10500,128715711,135808058,264523768,42045132,17476685,18057375,8920077,1717515,3526129,7135056,2177512,2470847,4056285,5270753,15862345,1173294,3121342,2850,6536945,4693180,6156918,47543958,16552794,3975258,1473668,5082990,16645962,12086794,8306253,2191196,264656
