Province_Code,2021_TOINC_Median,2021_TOTEX_Median,W_PROV_N,Region_Code,2021_TOINC_Sum,2021_TOTEX_Sum,2018_TOINC_Median,2018_TOTEX_Median,2018_TOINC_Sum,2018_TOTEX_Sum
1001300000,168693.0,109066.0,Bukidnon,1000000000,371004770,221663505,152951.0,106882.0,307572156,193124329
1001800000,192567.0,147538.0,Camiguin,1000000000,222867383,154739109,182692.0,155306.5,170692239,134604097
1003500000,169280.5,113517.5,Lanao del Norte,1000000000,738444071,466456626,174818.0,124723.5,680392386,459288283
1004200000,170620.0,158527.0,Misamis Occidental,1000000000,387425474,326436557,152231.5,131796.5,295936043,243060721
1004300000,203340.0,153559.0,Misamis Oriental,1000000000,896761505,639505491,201058.0,154739.0,837805912,601886554
102800000,284676.5,199503.5,Ilocos Norte,100000000,582073365,374480375,243130.0,184941.0,510397604,343352056
102900000,220926.5,157753.0,Ilocos Sur,100000000,499452482,322801133,208455.0,145148.0,439724341,272635479
103300000,227231.0,172876.5,La Union,100000000,516316448,355832705,238337.0,172909.0,470927467,309201407
105500000,206280.5,156646.5,Pangasinan,100000000,430876203,302178746,205650.0,168281.0,382514615,292538324
1102300000,199414.5,147946.5,Davao del Norte,1100000000,401381593,283614329,194355.0,153012.0,370078534,264523768
1102400000,217275.0,151067.5,Davao del Sur,1100000000,973582121,609728258,211657.0,162031.0,819420841,563392869
1102500000,155334.0,120618.0,Davao Oriental,1100000000,321615104,228208984,138545.0,121444.0,273888854,213650627
1108200000,156685.0,115322.0,Davao de Oro,1100000000,318987851,212758161,159817.5,120996.5,288260290,189701237
1108600000,127950.5,98669.0,Davao Occidental,1100000000,264423567,191122151,122276.5,94146.5,227184089,159732082
1204700000,164230.0,130567.5,Cotabato,1200000000,350394028,258842928,159685.5,138561.0,347593882,229506744
1206300000,181010.0,146641.0,South Cotabato,1200000000,780949267,557560801,192770.0,171493.0,719003592,565719934
1206500000,144407.0,120781.0,Sultan Kudarat,1200000000,317277211,236475056,140516.0,126473.5,282063916,213813871
1208000000,124834.5,103213.0,Sarangani,1200000000,249802049,201664232,121813.5,115862.5,207282698,181212817
1303900000,338571.0,316518.0,First District,1300000000,543650573,476745879,342526.0,306554.0,566779944,486127380
1307400000,361821.5,293658.5,Second District,1300000000,2457948559,1923096079,374000.0,318817.0,2329350196,1861383347
1307500000,289122.5,220534.5,Third District,1300000000,2137444623,1569206315,305200.0,249822.0,1898692403,1472845654
1307600000,334614.5,263408.5,Fourth District,1300000000,3722722121,2774680771,381513.0,305937.5,3270056592,2529539611
1400100000,187904.0,143846.5,Abra,1400000000,399370154,275963482,177267.0,135318.0,321657489,228585720
